Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
2006,cannes,Atriz,Volver,,Penélope Cruz; Carmen Maura; Lola Dueñas; Blanca Portillo; Yohana Cobo; Chus Lampreave,N,S
2005,cannes,Filme,L'Enfant,Jean-Pierre & Luc Dardenne,,N,S
2005,cannes,Grande Prêmio,Broken Flowers,Jim Jarmusch,,N,S
2005,cannes,Prêmio do Júri,Shanghai Dreams,Wang Xiaoshuai,,N,S
2005,cannes,Direção,Caché,Michael Haneke,,N,S
2005,cannes,Roteiro,The Three Burials of Melquiades Estrada,,Guillermo Arriaga,N,S
2005,cannes,Ator,The Three Burials of Melquiades Estrada,,Tommy Lee Jones,N,S
2005,cannes,Atriz,Free Zone,,Hanna Laslo,N,S
2004,cannes,Filme,Fahrenheit 9/11,Michael Moore,,N,S
2004,cannes,Grande Prêmio,Oldboy,Park Chan-wook,,N,S
2004,cannes,Prêmio do Júri,The Ladykillers,Joel & Ethan Coen,,S,S
2004,cannes,Prêmio do Júri,Tropical Malady,Apichatpong Weerasethakul,,S,S
2004,cannes,Direção,Exils,Tony Gatlif,,N,S
2004,cannes,Roteiro,Look at Me,,Agnès Jaoui; Jean-Pierre Bacri,N,S
2004,cannes,Ator,Nobody Knows,,Yūya Yagira,N,S
2004,cannes,Atriz,Clean,,Maggie Cheung,N,S
2003,cannes,Filme,Elephant,Gus Van Sant,,N,S
2003,cannes,Grande Prêmio,Distant,Nuri Bilge Ceylan,,N,S
2003,cannes,Prêmio do Júri,At Five in the Afternoon,Samira Makhmalbaf,,N,S
2003,cannes,Direção,Elephant,Gus Van Sant,,N,S
2003,cannes,Roteiro,The Barbarian Invasions,,Denys Arcand,N,S
2003,cannes,Ator,Distant,,Muzaffer Özdemir; Mehmet Emin Toprak,N,S
2003,cannes,Atriz,The Barbarian Invasions,,Marie-Josée Croze,N,S
2002,cannes,Filme,The Pianist,Roman Polanski,,N,S
2002,cannes,Grande Prêmio,The Man Without a Past,Aki Kaurismäki,,N,S
2002,cannes,Prêmio do Júri,Divine Intervention,Elia Suleiman,,N,S
2002,cannes,Direção,Punch-Drunk Love,Paul Thomas Anderson,,S,S
2002,cannes,Direção,Chi-hwa-seon,Im Kwon-taek,,S,S
2002,cannes,Roteiro,Sweet Sixteen,,Paul Laverty,N,S
2002,cannes,Ator,The Son,,Olivier Gourmet,N,S
2002,cannes,Atriz,The Man Without a Past,,Kati Outinen,N,S
2001,cannes,Filme,The Son's Room,Nanni Moretti,,N,S
2001,cannes,Grande Prêmio,The Piano Teacher,Michael Haneke,,N,S
2001,cannes,Direção,The Man Who Wasn't There,Joel Coen,,S,S
2001,cannes,Direção,Mulholland Drive,David Lynch,,S,S
2001,cannes,Roteiro,No Man's Land,,Danis Tanović,N,S
2001,cannes,Ator,The Piano Teacher,,Benoît Magimel,N,S
2001,cannes,Atriz,The Piano Teacher,,Isabelle Huppert,N,S
2000,cannes,Filme,Dancer in the Dark,Lars von Trier,,N,S
2000,cannes,Grande Prêmio,Devils on the Doorstep,Jiang Wen,,N,S
2000,cannes,Prêmio do Júri,Blackboards,Samira Makhmalbaf,,S,S
2000,cannes,Prêmio do Júri,Songs from the Second Floor,Roy Andersson,,S,S
2000,cannes,Direção,Yi Yi,Edward Yang,,N,S
2000,cannes,Roteiro,Nurse Betty,,James Flamberg; John C. Richards,N,S
2000,cannes,Ator,In the Mood for Love,,Tony Leung Chiu-wai,N,S
2000,cannes,Atriz,Dancer in the Dark,,Björk,N,S
1999,cannes,Filme,Rosetta,Jean-Pierre & Luc Dardenne,,N,S
1999,cannes,Grande Prêmio,Humanité,Bruno Dumont,,N,S
1999,cannes,Prêmio do Júri,The Letter,Manoel de Oliveira,,N,S
1999,cannes,Direção,All About My Mother,Pedro Almodóvar,,N,S
1999,cannes,Roteiro,Moloch,,Yuri Arabov,N,S
1999,cannes,Ator,Humanité,,Emmanuel Schotté,N,S
1999,cannes,Atriz,Humanité,,Séverine Caneele,S,S
1999,cannes,Atriz,Rosetta,,Émilie Dequenne,S,S
1998,cannes,Filme,Eternity and a Day,Theo Angelopoulos,,N,S
1998,cannes,Grande Prêmio,Life Is Beautiful,Roberto Benigni,,N,S
1998,cannes,Prêmio do Júri,The Celebration,Thomas Vinterberg,,S,S
1998,cannes,Prêmio do Júri,Class Trip,Claude Miller,,S,S
1998,cannes,Direção,The General,John Boorman,,N,S
1998,cannes,Roteiro,Henry Fool,,Hal Hartley,N,S
1998,cannes,Ator,My Name Is Joe,,Peter Mullan,N,S
1998,cannes,Atriz,The Dreamlife of Angels,,Élodie Bouchez; Natacha Régnier,N,S
1997,cannes,Filme,The Eel,Shōhei Imamura,,S,S
1997,cannes,Filme,Taste of Cherry,Abbas Kiarostami,,S,S
1997,cannes,Grande Prêmio,The Sweet Hereafter,Atom Egoyan,,N,S
1997,cannes,Prêmio do Júri,Western,Manuel Poirier,,N,S
1997,cannes,Direção,Happy Together,Wong Kar-wai,,N,S
1997,cannes,Roteiro,The Ice Storm,,James Schamus,N,S
1997,cannes,Ator,She's So Lovely,,Sean Penn,N,S
1997,cannes,Atriz,Nil by Mouth,,Kathy Burke,N,S
1996,cannes,Filme,Secrets & Lies,Mike Leigh,,N,S
1996,cannes,Grande Prêmio,Breaking the Waves,Lars von Trier,,N,S
1996,cannes,Prêmio do Júri,Crash,David Cronenberg,,N,S
1996,cannes,Direção,Fargo,Joel Coen,,N,S
1996,cannes,Roteiro,A Self Made Hero,,Jacques Audiard; Alain Le Henry,N,S
1996,cannes,Ator,The Eighth Day,,Daniel Auteuil; Pascal Duquenne,N,S
1996,cannes,Atriz,Secrets & Lies,,Brenda Blethyn,N,S
1995,cannes,Filme,Underground,Emir Kusturica,,N,S
1995,cannes,Grande Prêmio,Ulysses' Gaze,Theo Angelopoulos,,N,S
1995,cannes,Prêmio do Júri,Don't Forget You're Going to Die,Xavier Beauvois,,N,S
1995,cannes,Direção,La Haine,Mathieu Kassovitz,,N,S
1995,cannes,Ator,Carrington,,Jonathan Pryce,N,S
1995,cannes,Atriz,The Madness of King George,,Helen Mirren,N,S
1994,cannes,Filme,Pulp Fiction,Quentin Tarantino,,N,S
1994,cannes,Grande Prêmio,Burnt by the Sun,Nikita Mikhalkov,,S,S
1994,cannes,Grande Prêmio,To Live,Zhang Yimou,,S,S
1994,cannes,Prêmio do Júri,La Reine Margot,Patrice Chéreau,,N,S
1994,cannes,Direção,Caro diario,Nanni Moretti,,N,S
1994,cannes,Roteiro,Grosse fatigue,,Michel Blanc,N,S
1994,cannes,Ator,To Live,,Ge You,N,S
1994,cannes,Atriz,La Reine Margot,,Virna Lisi,N,S
1993,cannes,Filme,Farewell My Concubine,Chen Kaige,,S,S
1993,cannes,Filme,The Piano,Jane Campion,,S,S
1993,cannes,Grande Prêmio,"Faraway, So Close!",Wim Wenders,,N,S
1993,cannes,Prêmio do Júri,The Puppetmaster,Hou Hsiao-hsien,,S,S
1993,cannes,Prêmio do Júri,Raining Stones,Ken Loach,,S,S
1993,cannes,Direção,Naked,Mike Leigh,,N,S
1993,cannes,Ator,Naked,,David Thewlis,N,S
1993,cannes,Atriz,The Piano,,Holly Hunter,N,S
1992,cannes,Filme,The Best Intentions,Bille August,,N,S
1992,cannes,Grande Prêmio,The Stolen Children,Gianni Amelio,,N,S
1992,cannes,Prêmio do Júri,Dream of Light,Víctor Erice,,S,S
1992,cannes,Prêmio do Júri,An Independent Life,Vitali Kanevsky,,S,S
1992,cannes,Direção,The Player,Robert Altman,,N,S
1992,cannes,Ator,The Player,,Tim Robbins,N,S
1992,cannes,Atriz,The Best Intentions,,Pernilla August,N,S
1991,cannes,Filme,Barton Fink,Joel Coen,,N,S
1991,cannes,Grande Prêmio,La Belle Noiseuse,Jacques Rivette,,N,S
1991,cannes,Prêmio do Júri,Europa,Lars von Trier,,S,S
1991,cannes,Prêmio do Júri,Out of Life,Maroun Bagdadi,,S,S
1991,cannes,Direção,Barton Fink,Joel Coen,,N,S
1991,cannes,Ator,Barton Fink,,John Turturro,N,S
1991,cannes,Atriz,The Double Life of Veronique,,Irène Jacob,N,S
1990,cannes,Filme,Wild at Heart,David Lynch,,N,S
1990,cannes,Grande Prêmio,The Sting of Death,Kōhei Oguri,,S,S
1990,cannes,Grande Prêmio,Tilaï,Idrissa Ouedraogo,,S,S
1990,cannes,Prêmio do Júri,Hidden Agenda,Ken Loach,,N,S
1990,cannes,Direção,Taxi Blues,Pavel Lungin,,N,S
1990,cannes,Ator,Cyrano de Bergerac,,Gérard Depardieu,N,S
1990,cannes,Atriz,Interrogation,,Krystyna Janda,N,S
1989,cannes,Filme,"Sex, Lies, and Videotape",Steven Soderbergh,,N,S
1989,cannes,Grande Prêmio,Cinema Paradiso,Giuseppe Tornatore,,S,S
1989,cannes,Grande Prêmio,Too Beautiful for You,Bertrand Blier,,S,S
1989,cannes,Prêmio do Júri,Jesus of Montreal,Denys Arcand,,N,S
1989,cannes,Direção,Time of the Gypsies,Emir Kusturica,,N,S
1989,cannes,Ator,"Sex, Lies, and Videotape",,James Spader,N,S
1989,cannes,Atriz,A Cry in the Dark,,Meryl Streep,N,S
1988,cannes,Filme,Pelle the Conqueror,Bille August,,N,S
1988,cannes,Grande Prêmio,A World Apart,Chris Menges,,N,S
1988,cannes,Prêmio do Júri,A Short Film About Killing,Krzysztof Kieślowski,,N,S
1988,cannes,Direção,Sur,Fernando Solanas,,N,S
1988,cannes,Ator,Bird,,Forest Whitaker,N,S
1988,cannes,Atriz,A World Apart,,Barbara Hershey; Jodhi May; Linda Mvusi,N,S
1987,cannes,Filme,Under the Sun of Satan,Maurice Pialat,,N,S
1987,cannes,Grande Prêmio,Repentance,Tengiz Abuladze,,N,S
1987,cannes,Prêmio do Júri,Shinran: Path to Purity,Rentarō Mikuni,,S,S
1987,cannes,Prêmio do Júri,Yeelen,Souleymane Cissé,,S,S
1987,cannes,Direção,Wings of Desire,Wim Wenders,,N,S
1987,cannes,Ator,Dark Eyes,,Marcello Mastroianni,N,S
1987,cannes,Atriz,Shy People,,Barbara Hershey,N,S
1986,cannes,Filme,The Mission,Roland Joffé,,N,S
1986,cannes,Grande Prêmio,The Sacrifice,Andrei Tarkovsky,,N,S
1986,cannes,Prêmio do Júri,Thérèse,Alain Cavalier,,N,S
1986,cannes,Direção,After Hours,Martin Scorsese,,N,S
1986,cannes,Ator,Ménage,,Michel Blanc,S,S
1986,cannes,Ator,Mona Lisa,,Bob Hoskins,S,S
1986,cannes,Atriz,Rosa Luxemburg,,Barbara Sukowa,S,S
1986,cannes,Atriz,Love Me Forever or Never,,Fernanda Torres,S,S
1985,cannes,Filme,When Father Was Away on Business,Emir Kusturica,,N,S
1985,cannes,Grande Prêmio,Birdy,Alan Parker,,N,S
1985,cannes,Prêmio do Júri,Colonel Redl,István Szabó,,N,S
1985,cannes,Direção,Rendez-vous,André Téchiné,,N,S
1985,cannes,Ator,Kiss of the Spider Woman,,William Hurt,N,S
1985,cannes,Atriz,The Official Story,,Norma Aleandro,S,S
1985,cannes,Atriz,Mask,,Cher,S,S
1984,cannes,Filme,Paris Texas,Wim Wenders,,N,S
1984,cannes,Grande Prêmio,Diary for My Children,Márta Mészáros,,N,S
1984,cannes,Direção,A Sunday in the Country,Bertrand Tavernier,,N,S
1984,cannes,Roteiro,Voyage to Cythera,,Thanassis Valtinos; Theo Angelopoulos; Tonino Guerra,N,S
1984,cannes,Ator,The Holy Innocents,,Alfredo Landa; Francisco Rabal,N,S
1984,cannes,Atriz,Cal,,Helen Mirren,N,S
1983,cannes,Filme,The Ballad of Narayama,Shōhei Imamura,,N,S
1983,cannes,Grande Prêmio,Monty Python's The Meaning of Life,Terry Jones,,N,S
1983,cannes,Prêmio do Júri,Kharij,Mrinal Sen,,N,S
1983,cannes,Direção,L'Argent,Robert Bresson,,S,S
1983,cannes,Direção,Nostalghia,Andrei Tarkovsky,,S,S
1983,cannes,Ator,The Death of Mario Ricci,,Gian Maria Volonté,N,S
1983,cannes,Atriz,The Story of Piera,,Hanna Schygulla,N,S
1982,cannes,Filme,Missing,Costa-Gavras,,S,S
1982,cannes,Filme,Yol,Yılmaz Güney & Şerif Gören,,S,S
1982,cannes,Grande Prêmio,The Night of the Shooting Stars,Paolo & Vittorio Taviani,,N,S
1982,cannes,Direção,Fitzcarraldo,Werner Herzog,,N,S
1982,cannes,Roteiro,Moonlighting,,Jerzy Skolimowski,N,S
1982,cannes,Ator,Missing,,Jack Lemmon,N,S
1982,cannes,Atriz,Another Way,,Jadwiga Jankowska-Cieślak,N,S
1981,cannes,Filme,Man of Iron,Andrzej Wajda,,N,S
1981,cannes,Grande Prêmio,Light Years Away,Alain Tanner,,N,S
1981,cannes,Roteiro,Mephisto,,István Szabó,N,S
1981,cannes,Ator,Tragedy of a Ridiculous Man,,Ugo Tognazzi,N,S
1981,cannes,Atriz,Possession,,Isabelle Adjani,N,S
1980,cannes,Filme,All That Jazz,Bob Fosse,,S,S
1980,cannes,Filme,Kagemusha,Akira Kurosawa,,S,S
1980,cannes,Grande Prêmio,My American Uncle,Alain Resnais,,N,S
1980,cannes,Prêmio do Júri,The Constant Factor,Krzysztof Zanussi,,N,S
1980,cannes,Roteiro,La Terrazza,,Furio Scarpelli; Agenore Incrocci; Ettore Scola,N,S
1980,cannes,Ator,A Leap in the Dark,,Michel Piccoli,N,S
1980,cannes,Atriz,A Leap in the Dark,,Anouk Aimée,N,S
1979,cannes,Filme,Apocalypse Now,Francis Ford Coppola,,S,S
1979,cannes,Filme,The Tin Drum,Volker Schlöndorff,,S,S
1979,cannes,Grande Prêmio,Siberiade,Andrei Konchalovsky,,N,S
1979,cannes,Direção,Days of Heaven,Terrence Malick,,N,S
1979,cannes,Ator,The China Syndrome,,Jack Lemmon,N,S
1979,cannes,Atriz,Norma Rae,,Sally Field,N,S
1978,cannes,Filme,The Tree of Wooden Clogs,Ermanno Olmi,,N,S
1978,cannes,Grande Prêmio,Bye Bye Monkey,Marco Ferreri,,S,S
1978,cannes,Grande Prêmio,The Shout,Jerzy Skolimowski,,S,S
1978,cannes,Direção,Empire of Passion,Nagisa Ōshima,,N,S
1978,cannes,Ator,Coming Home,,Jon Voight,N,S
1978,cannes,Atriz,An Unmarried Woman,,Jill Clayburgh,S,S
1978,cannes,Atriz,Violette Nozière,,Isabelle Huppert,S,S
1977,cannes,Filme,Padre Padrone,Paolo & Vittorio Taviani,,N,S
1977,cannes,Ator,"Elisa, My Life",,Fernando Rey,N,S
1977,cannes,Atriz,3 Women,,Shelley Duvall,S,S
1977,cannes,Atriz,J.A. Martin Photographer,,Monique Mercure,S,S
1976,cannes,Filme,Taxi Driver,Martin Scorsese,,N,S
1976,cannes,Grande Prêmio,Cría Cuervos,Carlos Saura,,S,S
1976,cannes,Grande Prêmio,The Marquise of O,Éric Rohmer,,S,S
1976,cannes,Direção,Down and Dirty,Ettore Scola,,N,S
1976,cannes,Ator,Pascual Duarte,,José Luis Gómez,N,S
1976,cannes,Atriz,The Inheritance,,Dominique Sanda,S,S
1976,cannes,Atriz,Mrs. Dery Where Are You?,,Mari Törőcsik,S,S
1975,cannes,Filme,Chronicle of the Years of Fire,Mohammed Lakhdar-Hamina,,N,S
1975,cannes,Grande Prêmio,The Enigma of Kaspar Hauser,Werner Herzog,,N,S
1975,cannes,Direção,Orders,Michel Brault,,S,S
1975,cannes,Direção,Special Section,Costa-Gavras,,S,S
1975,cannes,Ator,Scent of a Woman,,Vittorio Gassman,N,S
1975,cannes,Atriz,Lenny,,Valérie Perrine,N,S
1974,cannes,Filme,The Conversation,Francis Ford Coppola,,N,S
1974,cannes,Grande Prêmio,Arabian Nights,Pier Paolo Pasolini,,N,S
1974,cannes,Prêmio do Júri,La prima Angélica,Carlos Saura,,N,S
1974,cannes,Roteiro,The Sugarland Express,,Steven Spielberg; Hal Barwood; Matthew Robbins,N,S
1974,cannes,Ator,The Last Detail,,Jack Nicholson,N,S
1974,cannes,Atriz,Violins at the Ball,,Marie-José Nat,N,S
1973,cannes,Filme,The Hireling,Alan Bridges,,S,S
1973,cannes,Filme,Scarecrow,Jerry Schatzberg,,S,S
1973,cannes,Grande Prêmio,The Mother and the Whore,Jean Eustache,,N,S
1973,cannes,Prêmio do Júri,The Hourglass Sanatorium,Wojciech Has,,S,S
1973,cannes,Prêmio do Júri,The Invitation,Claude Goretta,,S,S
