Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
1998,oscar,Roteiro,L.A. Confidential,,Brian Helgeland; Curtis Hanson,N,N
1998,oscar,Filme Estrangeiro,Character,Mike van Diem,,N,N
1998,oscar,Ator,As Good as It Gets,,Jack Nicholson,N,N
1998,oscar,Atriz,As Good as It Gets,,Helen Hunt,N,N
1997,oscar,Filme,The English Patient,Anthony Minghella,,N,N
1997,oscar,Direção,The English Patient,Anthony Minghella,,N,N
1997,oscar,Roteiro,Fargo,,Joel Coen; Ethan Coen,N,N
1997,oscar,Roteiro,Sling Blade,,Billy Bob Thornton,N,N
1997,oscar,Filme Estrangeiro,Kolya,Jan Svěrák,,N,N
1997,oscar,Ator,Shine,,Geoffrey Rush,N,N
1997,oscar,Atriz,Fargo,,Frances McDormand,N,N
1996,oscar,Filme,Braveheart,Mel Gibson,,N,N
1996,oscar,Direção,Braveheart,Mel Gibson,,N,N
1996,oscar,Roteiro,Sense and Sensibility,,Emma Thompson,N,N
1996,oscar,Roteiro,The Usual Suspects,,Christopher McQuarrie,N,N
1996,oscar,Filme Estrangeiro,Antonia's Line,Marleen Gorris,,N,N
1996,oscar,Ator,Leaving Las Vegas,,Nicolas Cage,N,N
1996,oscar,Atriz,Dead Man Walking,,Susan Sarandon,N,N
1995,oscar,Filme,Forrest Gump,Robert Zemeckis,,N,N
1995,oscar,Direção,Forrest Gump,Robert Zemeckis,,N,N
1995,oscar,Roteiro,Forrest Gump,,Eric Roth,N,N
1995,oscar,Roteiro,Pulp Fiction,,Quentin Tarantino; Roger Avary,N,N
1995,oscar,Filme Estrangeiro,Burnt by the Sun,Nikita Mikhalkov,,N,N
1995,oscar,Ator,Forrest Gump,,Tom Hanks,N,N
1995,oscar,Atriz,Blue Sky,,Jessica Lange,N,N
1994,oscar,Filme,Schindler's List,Steven Spielberg,,N,N
1994,oscar,Direção,Schindler's List,Steven Spielberg,,N,N
1994,oscar,Roteiro,Schindler's List,,Steven Zaillian,N,N
1994,oscar,Roteiro,The Piano,,Jane Campion,N,N
1994,oscar,Filme Estrangeiro,Belle Époque,Fernando Trueba,,N,N
1994,oscar,Ator,Philadelphia,,Tom Hanks,N,N
1994,oscar,Atriz,The Piano,,Holly Hunter,N,N
1993,oscar,Filme,Unforgiven,Clint Eastwood,,N,N
1993,oscar,Direção,Unforgiven,Clint Eastwood,,N,N
1993,oscar,Roteiro,Howards End,,Ruth Prawer Jhabvala,N,N
1993,oscar,Roteiro,The Crying Game,,Neil Jordan,N,N
1993,oscar,Filme Estrangeiro,Indochine,Régis Wargnier,,N,N
1993,oscar,Ator,Scent of a Woman,,Al Pacino,N,N
1993,oscar,Atriz,Howards End,,Emma Thompson,N,N
1992,oscar,Filme,The Silence of the Lambs,Jonathan Demme,,N,N
1992,oscar,Direção,The Silence of the Lambs,Jonathan Demme,,N,N
1992,oscar,Roteiro,The Silence of the Lambs,,Ted Tally,N,N
1992,oscar,Roteiro,Thelma & Louise,,Callie Khouri,N,N
1992,oscar,Filme Estrangeiro,Mediterraneo,Gabriele Salvatores,,N,N
1992,oscar,Ator,The Silence of the Lambs,,Anthony Hopkins,N,N
1992,oscar,Atriz,The Silence of the Lambs,,Jodie Foster,N,N
1991,oscar,Filme,Dances with Wolves,Kevin Costner,,N,N
1991,oscar,Direção,Dances with Wolves,Kevin Costner,,N,N
1991,oscar,Roteiro,Dances with Wolves,,Michael Blake,N,N
1991,oscar,Roteiro,Ghost,,Bruce Joel Rubin,N,N
