festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Roteiro,1967,A Man and a Woman,,Claude Lelouch; Pierre Uytterhoeven,N,S
oscar,Roteiro,1967,A Man for All Seasons,,Robert Bolt,N,S
oscar,Roteiro,1966,Darling,,Frederic Raphael,N,S
oscar,Roteiro,1966,Doctor Zhivago,,Robert Bolt,N,S
oscar,Roteiro,1965,Becket,,Edward Anhalt,N,S
oscar,Roteiro,1965,Father Goose,,Frank Tarloff; S. H. Barnett; Peter Stone,N,S
oscar,Roteiro,1964,How the West Was Won,,James R. Webb,N,S
oscar,Roteiro,1964,Tom Jones,,John Osborne,N,S
oscar,Roteiro,1963,"Divorce, Italian Style",,Pietro Germi; Alfredo Giannetti; Ennio de Concini,N,S
oscar,Roteiro,1963,To Kill a Mockingbird,,Horton Foote,N,S
oscar,Roteiro,1962,Judgment at Nuremberg,,Abby Mann,N,S
oscar,Roteiro,1962,Splendor in the Grass,,William Inge,N,S
oscar,Roteiro,1961,Elmer Gantry,,Richard Brooks,N,S
oscar,Roteiro,1961,The Apartment,,Billy Wilder; I. A. L. Diamond,N,S
oscar,Roteiro,1960,Pillow Talk,,Clarence Greene; Maurice Richlin; Russell Rouse; Stanley Shapiro,N,S
oscar,Roteiro,1960,Room at the Top,,Neil Paterson,N,S
oscar,Roteiro,1959,Gigi,,Alan Jay Lerner,N,S
oscar,Roteiro,1959,The Defiant Ones,,Harold Jacob Smith; Nedrick Young,N,S
oscar,Roteiro,1958,Designing Woman,,George Wells,N,S
oscar,Roteiro,1958,The Bridge on the River Kwai,,Carl Foreman; Michael Wilson; Pierre Boulle,N,S
oscar,Roteiro,1957,Around the World in 80 Days,,James Poe; S. J. Perelman; John Farrow,N,S
oscar,Roteiro,1957,The Brave One,,Dalton Trumbo,N,S
oscar,Roteiro,1957,The Red Balloon,,Albert Lamorisse,N,S
oscar,Roteiro,1956,Interrupted Melody,,Sonya Levien; William Ludwig,N,S
oscar,Roteiro,1956,Love Me or Leave Me,,Daniel Fuchs,N,S
oscar,Roteiro,1956,Marty,,Paddy Chayefsky,N,S
oscar,Roteiro,1955,Broken Lance,,Philip Yordan,N,S
oscar,Roteiro,1955,On the Waterfront,,Budd Schulberg,N,S
oscar,Roteiro,1955,The Country Girl,,George Seaton,N,S
oscar,Roteiro,1954,From Here to Eternity,,Daniel Taradash,N,S
oscar,Roteiro,1954,Roman Holiday,,Dalton Trumbo,N,S
oscar,Roteiro,1954,Titanic,,Charles Brackett; Richard L. Breen; Walter Reisch,N,S
oscar,Roteiro,1953,The Bad and the Beautiful,,Charles Schnee,N,S
oscar,Roteiro,1953,The Greatest Show on Earth,,Fredric M. Frank; Theodore St. John; Frank Cavett,N,S
oscar,Roteiro,1953,The Lavender Hill Mob,,T. E. B. Clarke,N,S
oscar,Roteiro,1952,A Place in the Sun,,Michael Wilson; Harry Brown,N,S
